RESP_NUM,Q2,Q3,TRIPS,Q4_TOTAL,Q5_TOTAL,Q4AP,Q4BP,Q4CP,Q4DP,Q4EP,Q4FP,Q4GP,Q4HP,Q5AP,Q5BP,Q5CP,Q5DP,Q5EP,Q5FP,Q5GP,Q5HP,WORK,SCH,SHOP,SOC,HOME,OTH-P-SF,DK-P-SF,REL,SFINTMODE,Q4AM,Q4BM,Q4CM,Q4DM,Q4EM,Q4FM,Q4GM,Q4HM,Q5AM,Q5BM,Q5CM,Q5DM,Q5EM,Q5FM,Q5GM,Q5HM,DA,DO,CRSHRE,TNC,TAXI,TRANS,SHTTLE,BIKE,WALK,SCOOT,OTH-M-SF,DK-M-SF,Q4AD,Q4BD,Q4CD,Q4DD,Q4ED,Q4FD,Q4GD,Q4HD,Q5AD,Q5BD,Q5CD,Q5DD,Q5ED,Q5FD,Q5GD,Q5HD,SF-D1,SF-D2,SF-D3,Q6,Q8,Q10,Q11_TOTAL,Q12,Q19,Q13,Q15,Q16M,Q17,Q18_TOTAL,Q9M,Q7P,9P-ADJ,Q11AP,Q11BP,Q11CP,Q11DP,Q11EP,Q11FP,Q11GP,Q11HP,Q14P,Q16P-ADJ,Q18AP,Q18BP,Q18CP,Q18DP,Q18EP,Q18FP,Q18GP,Q18HP,WORK1,WORK2,SCH1,SCH2,SHOP1,SHOP2,SOC1,SOC2,HOME1,HOME2,OTH1-P,OTH2-P,DK1-P,DK2-P,REL1,REL2,Q7M,Q9M-ADJ,Q11AM,Q11BM,Q11CM,Q11DM,Q11EM,Q11FM,Q11GM,Q11HM,Q14M,Q16M-ADJ,Q18AM,Q18BM,Q18CM,Q18DM,Q18EM,Q18FM,Q18GM,Q18HM,DA1,DA2,DO1,DO2,CRSHRE1,CRSHRE2,TNC1,TNC2,TAXI1,TAXI2,TRANS1,TRANS2,SHTTLE1,SHTTLE2,BIKE1,BIKE2,WALK1,WALK2,SCOOT1,SCOOT2,OTH1-M,OTH2-M,DK1-M,DK2-M,Q7D,Q9D,Q11AD,Q11BD,Q11CD,Q11DD,Q11ED,Q11FD,Q11GD,Q11HD,Q14D,Q16D,Q18AD,Q18BD,Q18CD,Q18DD,Q18ED,Q18FD,Q18GD,Q18HD,OSF1-D1,OSF1-D2,OSF1-D3,OSF2-D1,OSF2-D2,OSF2-D3,OSF-D1,OSF-D2,OSF-D3,Q20A,Q21A,Q21B,Q21C,Q21D,Q22,Q23,Q24-SF,Q24-NSF,Q24A,Q25,Q26-1,Q26-2,Q26-3,Q26-4,Q26-5,Q27,Q28,SAMPLE_TYPE,LANGUAGE,ZONE,INTERVIEW_DAY,INTERVIEW_DATE,AGECO,WEIGHT
412,9,,3,3,0,5,5,5,,,,,,,,,,,,,,0,0,0,0,3,0,0,0,9,9,6,6,,,,,,,,,,,,,,0,0,0,0,0,2,0,0,1,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,1,4,2,1,24,,94132,4,4,,,,,1,2,3,1,4,1,10/12/2014,4,0.870378261
413,9,,9,5,4,3,4,4,4,5,,,,1,5,4,5,,,,,1,0,1,4,3,0,0,0,9,9,2,9,9,9,,,,6,6,9,9,,,,,0,1,0,0,0,2,0,0,6,0,0,0,,2,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,1,1,2,2,7,,5,1,4,,,,,1,2,3,1,2,1,10/12/2014,1,1.04312
416,5,1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,20,1,1,,2,,,1,5,,,,,,,,,3,5,,,,,,,,,1,0,0,0,0,20,0,0,1,20,0,0,0,0,0,0,2,2,,,,,,,,,2,2,,,,,,,,,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,2,2,,,,,,,,,0,16,0,0,16,0,0,32,0,6,1,1,1,5,2,1,,94403,5,3,4,,,,,4,2,3,1,,3,10/14/2014,8,0.93861625
417,5,1,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,1,3,30,,2,,,,,,1,5,1,1,2,,,,,,,,,,,,,,,,90,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,1,1,1,1,2,,,,,,,,,,,,,,,,120,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,,,,,,,,,,,,,,,,0,40,0,0,0,0,0,40,0,6,3,1,1,5,4,1,,94404,94147,3,4,,,,,4,2,3,1,,3,10/14/2014,8,0.93861625
418,9,,9,5,4,3,1,4,1,5,,,,1,4,1,5,,,,,4,0,1,2,2,0,0,0,8,8,8,9,9,8,,,,8,9,9,8,,,,,0,0,0,0,0,0,0,5,4,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,4,5,7,2,16,,5,3,4,,,,,4,1,3,1,3,3,10/14/2014,3,0.865878313
420,5,1,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,1,7,7,1,1,,1,3,6,4,5,4,,,,,,,,4,5,4,4,4,,,,,,0,0,0,0,0,0,14,28,7,7,0,0,0,0,0,0,6,6,2,,,,,,,,2,2,2,2,2,,,,,,0,0,7,35,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,,2,2,2,2,2,,,,,,0,8,0,0,40,0,0,48,0,2,1,1,1,5,1,1,,94061,95124,3,3,,,,,2,2,1,1,,4,10/15/2014,8,0.93861625
421,9,,9,4,5,3,5,3,5,,,,,1,5,3,6,5,,,,1,0,3,0,4,1,0,0,9,9,9,9,9,,,,,1,1,1,1,2,,,,4,1,0,0,0,0,0,0,4,0,0,0,,,,,,,,,2,2,2,2,2,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,1,5,1,1,10,,4,5,3,,,,,1,2,1,1,5,4,10/15/2014,5,1.088087255
422,8,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,1,1,1,1,,2,,,1,5,,,,,,,,,3,5,,,,,,,,,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,2,,,,,,,,,6,6,,,,,,,,,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,16,0,0,0,0,0,16,0,1,1,1,1,1,1,1,,95472,5,5,4,,,,,4,1,1,1,,4,10/15/2014,10,0.93027803
423,9,,4,2,2,4,5,,,,,,,4,5,,,,,,,0,0,0,2,2,0,0,0,1,1,1,,,,,,,1,1,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,1,1,,,,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,1,1,5,1,1,10,,2,5,2,,,,,1,1,3,1,5,4,10/15/2014,5,1.088087255
424,5,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,2,,20,,2,,,,,,2,5,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,16,0,0,0,0,0,16,0,6,1,1,1,1,1,2,,94062,2,1,4,,,,,1,1,3,1,,4,10/15/2014,6,1.13516
426,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,1,1,4,1,1,1,,1,1,,1,5,1,,,,,,,,4,5,4,,,,,,,,8,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,6,6,6,,,,,,,,6,6,6,,,,,,,,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7,1,1,5,5,3,2,,94706,94103,4,4,,,,,5,2,3,1,,5,10/16/2014,9,1.074865278
428,7,1,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,2,,,,,,4,5,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,16,0,0,0,0,0,16,0,6,1,1,1,1,3,1,,95687,95688,4,4,,,,,4,2,3,1,,2,10/20/2014,9,1.074865278
429,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,1,1,1,1,,2,,,4,5,,,,,,,,,3,5,,,,,,,,,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,2,,,,,,,,,6,6,,,,,,,,,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,16,0,0,0,0,0,16,0,6,1,4,1,2,6,1,,95822,4,3,2,,,,,1,1,3,1,,2,10/20/2014,8,0.93861625
430,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,1,1,1,,2,,,3,5,,,,,,,,,3,5,,,,,,,,,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,,,,,,,,,1,1,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,2,2,,,,,,,,,0,16,0,0,16,0,0,32,0,2,1,1,1,5,1,1,,94015,2,5,9,,,,,4,2,1,1,,2,10/20/2014,10,0.93027803
432,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,1,1,1,1,,2,,,4,5,,,,,,,,,1,5,,,,,,,,,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,2,,,,,,,,,1,1,,,,,,,,,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,2,2,,,,,,,,,0,16,0,0,16,0,0,32,0,6,1,1,1,5,2,1,,94044,94044,5,4,,,,,2,2,3,1,,3,10/21/2014,10,0.93027803
433,2,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,2,2,,2,,,,,,4,5,3,3,,,,,,,,,,,,,,,,,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,6,6,6,9,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,4,1,1,5,2,1,,94563,95817,5,4,,,,,1,2,3,1,,3,10/21/2014,10,0.93027803
434,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,1,1,1,,2,,,,,,1,5,3,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,0,24,0,0,0,0,0,24,0,6,1,1,1,1,1,1,,94030,94121,5,1,,,,,4,1,3,1,,3,10/21/2014,10,0.93027803
435,9,,1,1,0,3,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,3,1,2,19,,2,5,2,,,,,2,2,1,1,5,3,10/21/2014,5,1.088087255
437,1,1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,1,2,10,1,1,1,,2,,,4,5,4,3,,,,,,,1,5,,,,,,,,,0,1,0,0,10,0,20,0,10,1,0,0,0,0,0,0,1,1,1,1,,,,,,,1,1,,,,,,,,,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,,,,,,,2,2,,,,,,,,,0,32,0,0,16,0,0,48,0,6,1,1,1,5,4,1,,94619,94510,4,6,,,,,4,1,3,1,,4,10/22/2014,9,1.074865278
438,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,2,,2,,,,,,4,5,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,16,0,0,0,0,0,16,0,6,1,1,1,5,4,1,,94025,94025,3,3,,,,,3,1,1,1,,4,10/22/2014,8,0.93861625
439,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,1,3,1,1,1,1,,2,,,1,5,4,3,1,,,,,,5,5,,,,,,,,,2,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,1,1,1,1,1,,,,,,1,1,,,,,,,,,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,,,,,,2,2,,,,,,,,,0,40,0,0,16,0,0,56,0,6,2,1,1,5,1,1,,95123,95123,2,4,,,,,5,1,3,1,,4,10/22/2014,7,1.048985294
440,1,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,3,8,1,1,1,,2,,,4,5,3,1,4,,,,,,1,5,,,,,,,,,8,1,0,0,8,0,16,0,8,1,0,0,0,0,0,0,1,1,1,1,1,,,,,,1,1,,,,,,,,,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,,,,,,2,2,,,,,,,,,0,40,0,0,16,0,0,56,0,2,4,1,5,4,4,1,,94608,3,4,9,,,,,2,1,3,1,,4,10/22/2014,9,1.074865278
441,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,,10,,2,,,,,,1,5,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,16,0,0,0,0,0,16,0,3,1,1,1,1,2,1,,94587,94587,3,3,,,,,1,1,3,1,,5,10/23/2014,8,0.93861625
442,5,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,2,3,,2,,,,,,4,5,4,3,,,,,,,,,,,,,,,,,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,2,2,2,2,,,,,,,,,,,,,,,,,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,,,,,,,,,,,,,,,,,0,32,0,0,0,0,0,32,0,6,1,1,1,5,2,1,,94002,94010,3,4,,,,,2,2,3,1,,5,10/23/2014,8,0.93861625
444,8,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,2,3,,2,,,,,,3,5,4,3,,,,,,,,,,,,,,,,,0,0,0,0,6,0,3,0,3,0,0,0,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,,,,,,,,,,,,,,,,,8,24,0,0,0,0,8,24,0,12,1,1,1,5,1,1,,94953,94952,5,4,,,,,1,1,1,1,,1,10/26/2014,10,0.93027803
445,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,2,,1,1,1,1,,2,,,1,5,,,,,,,,,1,5,,,,,,,,,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,6,,,,,,,,,6,6,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,1,1,1,5,3,1,,94804,94107,4,2,,,,,4,1,1,1,,1,10/26/2014,9,1.074865278
446,8,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,,2,,,,,,4,5,4,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,0,24,0,0,0,0,0,24,0,6,1,1,1,5,1,1,,95405,95403,4,4,,,,,3,2,3,1,,1,10/26/2014,9,1.074865278
447,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,1,1,1,1,,1,1,,1,5,,,,,,,,,4,5,4,,,,,,,,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,2,,,,,,,,,6,6,6,,,,,,,,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,16,0,0,0,0,0,16,0,6,1,1,1,1,4,1,,94701,94704,4,4,,,,,4,2,1,1,,1,10/26/2014,9,1.074865278
448,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,0,2,,2,,,,,,4,5,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,16,0,0,0,0,0,16,0,6,1,1,1,5,4,1,,94565,94565,5,4,,,,,2,1,3,1,,2,10/27/2014,10,0.93027803
449,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,1,2,1,,2,,,,,,4,5,4,4,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,2,2,1,,,,,,,,,,,,,,,,,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,,,,,,,,,,,,,,,,,0,32,0,0,0,0,0,32,0,12,1,1,1,5,2,1,,94061,94070,5,4,,,,,4,1,3,1,,2,10/27/2014,10,0.93027803
450,7,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,,2,,,4,5,3,,,,,,,,3,5,,,,,,,,,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,6,6,6,,,,,,,,5,5,,,,,,,,,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,5,1,1,4,2,1,,94570,2,5,4,,,,,1,2,1,1,,2,10/27/2014,10,0.93027803
451,6,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,2,2,1,1,,1,3,,4,5,,,,,,,,,4,5,4,4,2,,,,,,0,0,0,2,0,0,2,6,2,2,0,0,0,0,0,0,6,6,,,,,,,,,2,2,2,2,2,,,,,,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2,2,2,2,2,,,,,,0,0,0,0,40,0,0,40,0,2,4,1,1,5,4,1,,95124,95124,4,4,,,,,4,2,1,1,,2,10/27/2014,9,1.074865278
452,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,1,,2,,,,,,4,5,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,5,5,2,1,,94541,95126,2,3,,,,,3,1,3,1,,2,10/27/2014,7,1.048985294
453,4,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,2,,15,,2,,,,,,1,5,,,,,,,,,,,,,,,,,,,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,0,16,0,0,0,0,0,16,0,8,1,1,1,5,6,1,,94559,2,2,4,,,,,3,1,1,1,,2,10/27/2014,7,1.048985294
455,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,,2,,,,,,4,5,3,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,0,24,0,0,0,0,0,24,0,6,1,1,1,5,2,1,,94521,2,5,1,,,,,2,2,3,1,,3,10/28/2014,10,0.93027803
456,1,1,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,1,3,20,1,1,1,,2,,,1,5,4,3,3,,,,,,1,5,,,,,,,,,20,1,0,0,40,0,20,0,20,1,0,0,0,0,0,0,6,6,9,9,9,,,,,,1,1,,,,,,,,,0,2,0,0,0,0,0,0,0,0,40,0,0,0,0,0,60,0,0,0,0,0,0,0,,,,,,,,,,,2,2,,,,,,,,,0,0,0,0,16,0,0,16,0,1,2,1,1,5,1,1,,94566,94107,3,4,,,,,3,2,3,1,,3,10/28/2014,8,0.93861625
457,9,,8,5,3,1,5,3,5,3,,,,1,3,5,,,,,,2,0,3,0,3,0,0,0,1,1,1,1,1,2,,,,1,1,1,,,,,,7,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,,,,2,2,2,,,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,5,1,1,16,,5,4,1,,,,,4,2,1,1,3,3,10/28/2014,4,0.870378261
458,9,,4,2,2,1,5,,,,,,,1,1,,,,,,,3,0,0,0,1,0,0,0,4,4,2,,,,,,,6,6,,,,,,,0,1,0,1,0,2,0,0,0,0,0,0,,2,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,1,5,1,1,29,,4,4,4,,,,,3,2,3,1,9,3,10/28/2014,4,0.870378261
459,9,,6,4,2,1,5,3,5,,,,,4,4,,,,,,,1,0,1,2,2,0,0,0,6,6,6,6,6,,,,,6,6,,,,,,,0,0,0,0,0,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,1,1,3,3,2,13,,94103,3,6,,,,,2,1,3,1,4,3,10/28/2014,3,0.865878313
