RESP_NUM,Q2,Q3,TRIPS,Q4_TOTAL,Q5_TOTAL,Q4AP,Q4BP,Q4CP,Q4DP,Q4EP,Q4FP,Q4GP,Q4HP,Q5AP,Q5BP,Q5CP,Q5DP,Q5EP,Q5FP,Q5GP,Q5HP,WORK,SCH,SHOP,SOC,HOME,OTH-P-SF,DK-P-SF,REL,SFINTMODE,Q4AM,Q4BM,Q4CM,Q4DM,Q4EM,Q4FM,Q4GM,Q4HM,Q5AM,Q5BM,Q5CM,Q5DM,Q5EM,Q5FM,Q5GM,Q5HM,DA,DO,CRSHRE,TNC,TAXI,TRANS,SHTTLE,BIKE,WALK,SCOOT,OTH-M-SF,DK-M-SF,Q4AD,Q4BD,Q4CD,Q4DD,Q4ED,Q4FD,Q4GD,Q4HD,Q5AD,Q5BD,Q5CD,Q5DD,Q5ED,Q5FD,Q5GD,Q5HD,SF-D1,SF-D2,SF-D3,Q6,Q8,Q10,Q11_TOTAL,Q12,Q19,Q13,Q15,Q16M,Q17,Q18_TOTAL,Q9M,Q7P,9P-ADJ,Q11AP,Q11BP,Q11CP,Q11DP,Q11EP,Q11FP,Q11GP,Q11HP,Q14P,Q16P-ADJ,Q18AP,Q18BP,Q18CP,Q18DP,Q18EP,Q18FP,Q18GP,Q18HP,WORK1,WORK2,SCH1,SCH2,SHOP1,SHOP2,SOC1,SOC2,HOME1,HOME2,OTH1-P,OTH2-P,DK1-P,DK2-P,REL1,REL2,Q7M,Q9M-ADJ,Q11AM,Q11BM,Q11CM,Q11DM,Q11EM,Q11FM,Q11GM,Q11HM,Q14M,Q16M-ADJ,Q18AM,Q18BM,Q18CM,Q18DM,Q18EM,Q18FM,Q18GM,Q18HM,DA1,DA2,DO1,DO2,CRSHRE1,CRSHRE2,TNC1,TNC2,TAXI1,TAXI2,TRANS1,TRANS2,SHTTLE1,SHTTLE2,BIKE1,BIKE2,WALK1,WALK2,SCOOT1,SCOOT2,OTH1-M,OTH2-M,DK1-M,DK2-M,Q7D,Q9D,Q11AD,Q11BD,Q11CD,Q11DD,Q11ED,Q11FD,Q11GD,Q11HD,Q14D,Q16D,Q18AD,Q18BD,Q18CD,Q18DD,Q18ED,Q18FD,Q18GD,Q18HD,OSF1-D1,OSF1-D2,OSF1-D3,OSF2-D1,OSF2-D2,OSF2-D3,OSF-D1,OSF-D2,OSF-D3,Q20A,Q21A,Q21B,Q21C,Q21D,Q22,Q23,Q24-SF,Q24-NSF,Q24A,Q25,Q26-1,Q26-2,Q26-3,Q26-4,Q26-5,Q27,Q28,SAMPLE_TYPE,LANGUAGE,ZONE,INTERVIEW_DAY,INTERVIEW_DATE,AGECO,WEIGHT
13,9,,6,3,3,1,3,5,,,,,,1,3,5,,,,,,2,0,2,0,2,0,0,0,9,9,8,8,,,,,,9,8,8,,,,,,0,0,0,0,0,0,0,4,2,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,1,4,B,5,B,5,,94107,5,4,,,,,1,1,3,1,1,4,10/8/2014,5,1.088087255
14,9,,4,2,2,2,5,,,,,,,2,5,,,,,,,0,2,0,0,2,0,0,0,1,1,1,,,,,,,1,1,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,2,2,,,,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,1,B,1,B,26,,2,1,1,,,,,1,1,1,1,5,4,10/8/2014,1,1.04312
16,5,1,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,5,,2,,,,,,4,5,4,7,,,,,,,,,,,,,,,,,0,0,0,0,0,0,10,0,5,0,0,0,5,0,0,0,2,2,2,2,,,,,,,,,,,,,,,,,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,,,,,,,,,,,,,,,,,0,32,0,0,0,0,0,32,0,12,5,1,1,B,2,B,,94404,94401,2,4,,,,,3,2,3,1,,4,10/8/2014,7,1.048985294
18,3,1,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,3,9,3,1,1,,2,,,4,7,3,4,5,,,,,,3,5,,,,,,,,,0,0,0,0,9,3,18,0,9,3,0,0,9,0,0,0,2,2,2,2,2,,,,,,2,2,,,,,,,,,0,0,45,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,,,,,,2,2,,,,,,,,,0,40,0,0,16,0,0,56,0,6,6,1,1,5,1,1,,94925,94925,4,4,,,,,4,2,3,1,,5,10/9/2014,9,1.074865278
19,9,,11,5,6,3,3,5,3,5,,,,2,3,4,3,3,5,,,0,1,6,1,3,0,0,0,6,6,6,4,4,4,,,,6,6,9,9,9,6,,,0,0,0,3,0,5,0,0,3,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,4,1,1,4,1,22,,94111,2,1,,,,,4,1,3,1,5,5,10/9/2014,2,1.115464198
20,9,,5,5,0,3,4,4,3,5,,,,,,,,,,,,0,0,2,2,1,0,0,0,1,1,1,9,9,1,,,,,,,,,,,,3,0,0,0,0,0,0,0,2,0,0,0,1,1,,,2,,,,,,,,,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,1,6,1,1,11,,94114,3,6,,,,,5,1,1,1,1,5,10/9/2014,3,0.865878313
21,9,,4,2,2,2,5,,,,,,,2,5,,,,,,,0,2,0,0,2,0,0,0,1,1,1,,,,,,,2,2,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,2,2,,,,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,6,1,2,1,10,,2,2,1,,,,,1,2,3,1,5,5,10/9/2014,2,1.115464198
22,9,,2,0,2,,,,,,,,,3,5,,,,,,,0,0,1,0,1,0,0,0,1,,,,,,,,,1,1,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2,2,,,,,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,1,5,1,1,17,,94122,5,1,,,,,5,2,3,1,3,5,10/9/2014,5,1.088087255
23,9,,8,4,4,1,4,1,5,,,,,1,4,1,5,,,,,4,0,0,2,2,0,0,0,6,6,9,9,6,,,,,6,9,9,6,,,,,0,0,0,0,0,4,0,0,4,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,1,4,4,1,11,,5,4,4,,,,,4,2,3,1,1,5,10/9/2014,4,0.870378261
24,9,,4,2,2,1,5,,,,,,,1,5,,,,,,,2,0,0,0,2,0,0,0,1,1,1,,,,,,,1,1,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,2,2,,,,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,1,1,5,1,1,18,,5,2,2,,,,,3,2,3,1,2,5,10/9/2014,2,1.115464198
